x,Q2,y,SE,JB,DA,SIG,ESIG
0.501187,5.01187,0.000505051,0,0,0,0,0
0.501187,7.94328,0.000800451,28.8997,0,0,0,0
0.501187,12.5893,0.00126863,60.5731,0,0,0,0
0.501187,19.9526,0.00201064,56.6672,49.7093,0,49.4946,48.434
0.501187,31.6228,0.00318665,56.7519,52.3529,0,51.6621,52.0537
0.501187,50.1187,0.00505051,59.7337,51.1273,24.1422,52.3808,51.7669
0.501187,79.4328,0.00800451,57.2178,50.9473,23.6131,51.9295,49.9907
0.501187,125.893,0.0126863,53.2683,41.7343,22.1281,42.2847,42.5109
0.501187,199.526,0.0201064,46.6183,35.4918,17.9548,37.0856,38.6344
0.501187,316.228,0.0318665,35.3083,30.4622,14.0997,31.0464,31.8513
0.501187,501.187,0.0505051,25.2793,29.2722,10.8097,29.6997,29.5516
0.501187,794.328,0.0800451,20.4785,28.1661,8.88497,29.3436,28.2008
0.501187,1258.93,0.126863,14.6293,26.0099,6.96095,25.7605,37.447
0.501187,1995.26,0.201064,12.3666,24.2492,6.35232,27.3602,37.5326
0.501187,3162.28,0.318665,10.472,31.6375,22.3703,42.8581,22.9963
0.501187,5011.87,0.505051,11.2258,40.5795,23.3299,27.283,19.1322
0.501187,7943.28,0.800451,4.77174,27.1696,9.73802,14.3052,25.7938
0.794328,1.25893,8.00451e-05,0,0,0,0,0
0.794328,1.99526,0.000126863,0,0,0,0,0
0.794328,3.16228,0.000201064,0,0,0,0,0
0.794328,5.01187,0.000318665,0,0,0,0,0
0.794328,7.94328,0.000505051,0,0,0,0,0
0.794328,12.5893,0.000800451,0,0,0,0,64.4555
0.794328,19.9526,0.00126863,64.4491,55.8709,0,53.4397,53.2656
0.794328,31.6228,0.00201064,65.3631,0,0,0,0
0.794328,50.1187,0.00318665,0,47.8466,0,47.4371,47.2811
0.794328,79.4328,0.00505051,0,57.4887,24.2543,57.797,58.1712
0.794328,125.893,0.00800451,48.5175,53.2608,20.7367,53.5294,53.5857
0.794328,199.526,0.0126863,52.0953,43.3437,21.8858,43.7372,45.9769
0.794328,316.228,0.0201064,44.0879,39.9996,19.2286,39.3187,40.3055
0.794328,501.187,0.0318665,34.4553,42.4513,15.4559,42.0661,41.7088
0.794328,794.328,0.0505051,23.66,30.3752,17.7222,31.0984,31.866
0.794328,1258.93,0.0800451,19.2803,29.8777,9.52567,29.8073,28.6354
0.794328,1995.26,0.126863,16.7219,28.9565,7.28531,28.0223,45.3241
0.794328,3162.28,0.201064,11.5701,27.9004,13.2189,36.3303,30.6377
0.794328,5011.87,0.318665,22.7618,42.6566,31.154,44.4401,27.4935
0.794328,7943.28,0.505051,5.98318,38.699,18.1322,21.3096,18.8274
